text,label_class,label
你好；请问固力康四烯甲萘醌软胶囊的主治症状及成份分别有那些呢？,其他,12
我经常在夜总会上班，所以不小心得了尖锐湿疣这个病，刚查出来大概能有两周多吧，不知道这个病能不能治愈啊？请问谁知道麻烦告诉告诉我。,传染性,7
患肺气肿十多年，最近几年老感冒，请问该如何是好啊？怎么好,治疗方法,5
克龄蒙主要用来治疗什么疾病，要怎么用才有效？,其他,12
昨晚我跟老公在一起后肚子疼的厉..,其他,12
坐飞机会突发心悸吗,病因,1
九个月宝宝拉肚子蛋花样的还吐怎么办,治疗方法,5
听说银诺克滋补生发片能和伊利高钙奶一起服用是吗？药性相冲吗,其他,12
你好，医生请问一下我已经口腔溃烂生疮三年了，我用过冰硼散，口腔粘膜，不见好转,临床表现(病症表现),3
心绞痛时心率快吗,临床表现(病症表现),3
就是有时候深呼吸，尤其是喝了凉点的水以后，就感觉胸口闷可以吃稳心颗粒吗？,治疗方法,5
求治疗慢性支气管炎的偏方,治疗方法,5
请问连续3个月的月经每月提前6天什么问题？,其他,12
脑梗塞的后遗症有哪些？,相关病症,4
肛门上起俩个小包特别疼,临床表现(病症表现),3
手术治结肠息肉可以根治吗？复发的几率高吗,其他,12
更年期月经流血时间长，是否可以吃补佳乐？吃了必须吃10天孕激素吗？,其他,12
您好，肝郁气滞会累及心悸心虚吗？,相关病症,4
请问多发性神经纤维瘤病症状是什么,临床表现(病症表现),3
正常人会出现心绞痛吗,临床表现(病症表现),3
咽喉肿胀吃饭无异样用手指压有痛感呼吸有压迫感,病因,1
强迫症咬嘴上的死皮你中了吗,临床表现(病症表现),3
10个月宝宝大便微稀，略酸一天1到2次是否正常,其他,12
请问，在服用氢溴酸西酞普兰片时要注意些什么？？,禁忌,9
每个小儿第一次发作癫痫的严重程度都不同，有些孩子，在发病之间，就已经表现出了烦躁不安，情绪波动较大等前兆，家长要尽快把孩子送到医院，那么现在儿童癫痫治愈率是多少呢？,治愈率,8
请问月经正常卵泡持续长大不破怎么办？,临床表现(病症表现),3
颅内转移瘤可以并发哪些疾病?,相关病症,4
请问月经不来也没怀孕怎么办？,其他,12
硝苯地平控释片有什么功效，长期服用的话会怎样？,其他,12
支气管扩张怎么办，而且痰带血,治疗方法,5
孕期如何预防胎儿先天性心脏病？,预防,2
手上脚上都开始长斑，都是内分泌失调吗？？？,病因,1
月经老是跟着有一个月了咋回事,临床表现(病症表现),3
前段时间总感觉龟头很痒，起了好多小水泡泡，之前以为就是湿疹。可是后来上医院检查发现不是，是叫尖锐湿疣的性病请问尖锐湿疣这个疾病到底能不能治愈呢？,治愈率,8
月经期间可以吃治胃病的中药吗,禁忌,9
甲状腺功能亢进伴发的精神障碍是什么病,定义,0
高血压心率低头不舒服吃点啥药好,治疗方法,5
直肠内黏膜脱落有什么药物能治疗？,治疗方法,5
"患有内痔，大便正常，经常疼痛,应如何治疗？",治疗方法,5
25岁，闻到烟味就上不来气，尤其在晚上喘，躺都躺不下。怎么能把我的病彻底根治，呼吸流畅,治疗方法,5
您好，医生，我想咨询一下1型糖尿病肾病能吃捷诺维吗,禁忌,9
肾性脑病要做哪些检查,临床表现(病症表现),3
请问两个月没来月经了是什么原因引起的？,临床表现(病症表现),3
"11月12号来的月经，平时月经都推迟的，现在孕酮为20.49nmol/l.hcg为2170IU/L,正常吗",定义,0
睡觉起床有浓痰，气不顺，痰咳出就没事了,相关病症,4
鼻孔流出恶臭难闻的液体，鼻整天闻到臭味，鼻孔内疼痛，呼吸时头痛，身体忽冷忽热请问医生这是什么病，会不会是鼻咽癌呢,相关病症,4
支气管扩张症是什么原因引起的?,病因,1
肾上腺结节高血压多汗皮肤不好,其他,12
孩子直肠狭窄，需要做手术。请问直肠狭窄主要有哪些症状？,临床表现(病症表现),3
人流对身体有什么不好？,其他,12
早上起来时腰根本用不上劲，求一些比较好的办法啊，谢谢,治疗方法,5
我脸上长满了痘，背上胸前也有，所以这个实在是比较麻烦的很了。,其他,12
请问每个月的月经量都很少会对怀孕产生什么影响吗？,其他,12
什么是先天性心脏病？,定义,0
感觉心跳有时比较快，还有疼痛感不过不严重用手拍打会减轻，而且感觉是在上半部分,病因,1
请问怀孕9个月的胎儿心脏缺一块怎么办？,治疗方法,5
吃什么药治疗痔疮？饮食注意什么？,其他,12
外痔自己会好吗,治疗方法,5
我父亲感到胸闷气促有一年多了，近半个月加重，并且多饮、多尿经检查得知是慢性心力衰竭，我想问一下老年人慢性心力衰竭还能治吗？,治愈率,8
你好，宝宝8个月晚上睡觉咳的厉害，白天偶尔咳嗽，已半月,治疗方法,5
您好，贲门失迟缓征；慢性胃炎、胃下垂怎么治疗？,治疗方法,5
变异性哮喘吃什么水果好,禁忌,9
请教一下上颈椎不稳症是否会传染？,传染性,7
下坠感，腹泻交替，腹痛，用过理气舒肠方的中药还不错，没坚持，有什么其他方法治疗？,治疗方法,5
孩子不爱吃饭只吃母乳怎么办,治疗方法,5
出现早搏要治疗吗？,治疗方法,5
我是糖尿病患者，该怎么样用药？用法用量是多少？,其他,12
医生说是过敏性咳嗽，从去年开始的，现在又开始咳嗽！医生说还是过敏性！该怎么办？,治疗方法,5
打扰问一下原发性卵巢类癌综合征易发人群是哪些人,传染性,7
你好，麻烦问一下记忆障碍是否会传染？,传染性,7
之前咳嗽没那么频繁，医生贴了贴子，吃了药之后睡着了不咳嗽醒了一直咳,治疗方法,5
甲亢，治疗一年多，现在在减药，但是经前会乳房胀痛，月经来潮症状就会消失，可以服用气血和胶囊,其他,12
放屁臭是怎么回事,病因,1
女小孩尿频，医院B超，尿常规检查正常怎么办,治疗方法,5
尿频，尿急，小腹疼痛,临床表现(病症表现),3
大便干，疼，有血，是痔疮。痔疮根据病况分几种？,定义,0
做痔疮手排便疼吗,其他,12
心窝部隐痛的治疗与预防方法有哪些？,治疗方法,5
直肠及乙状结肠息肉的症状及危害是什么？,其他,12
采取什么措施绕开外阴疖病,预防,2
一个月.前有脑梗及(高血压，正常后出院，，血压药一直吃，现在血压150/90吃施慧达几天了，仍没效果，是什么原因？,临床表现(病症表现),3
请问月经推迟七八天没来小腹疼痛啥情况？,病因,1
请问：我现在有早博，血压15393能不能吃卡托普利片,治疗方法,5
您好急性阿米巴痢疾应该看啥医生,所属科室,6
您好！21金维他糖尿病高血压病老人可以服用吗？容易过敏吗,其他,12
我的弟弟有癫痫病，已经一年多了。一直都在吃药治疗，但是都没有什么好的效果，该怎么去治疗呢？怎么样治疗好呢,治疗方法,5
打了三天吊瓶，今天尿检医生说正常了,治疗时间,11
请教一下婴儿痉挛症多大概率能治好？,治愈率,8
请问结肠癌现在还能救吗,治愈率,8
肛门被擦破了该怎么办,其他,12
做CT检查右肺中叶支气管扩张，并部分管腔粘液嵌塞，左肺上叶条索灶是什么意思，严重吗？,病因,1
不知道怎么回事前几天开始左脚有一点神经抽动特别是移动一起身就感觉好像很奇怪之前没有这样过有点酸,临床表现(病症表现),3
月经前心烦易怒，脾气很差，可不可以吃乌灵胶囊？需要注意什么？,其他,12
孩子总是大便干怎么办,治疗方法,5
骶尾骨周围内部疼痛，走路不痛，大便无异常，用手按压特别疼。,临床表现(病症表现),3
我最近大便也常出血，而且量很多,临床表现(病症表现),3
为什么我每月来月经的时候肛门都会胀痛感,临床表现(病症表现),3
刚才大便后，肛门掉出一团肉，疑似痔疮，怎么办啊？,临床表现(病症表现),3
痘痘型皮肤，防晒霜,其他,12
儿童便秘怎么调理儿童便秘怎么调理,治疗方法,5
为什么会尿分叉？？？,病因,1
我现在正在月经期，但两天前突然开始下体瘙痒还一直想上厕所，但每次都尿不多，这是怎么回事,临床表现(病症表现),3
总是上小便，怎么回事啊,病因,1
退烧是安乃近好还是布洛芬缓释胶囊好该用什么药,其他,12
我是腰椎间盘突出s1和5椎现在肌肉有未缩现象大腿到小腿涨和麻,临床表现(病症表现),3
外婆一直都有高血压，昨天突然晕倒在家里，幸亏我舅及时送往医院，医生说外婆心脏扩大导致心功能降低，还在抢救中，我想问一下心脏扩大导致心功能降低还有救吗？,治愈率,8
就是胸口左侧有时候疼的不能呼吸，有时候不疼,临床表现(病症表现),3
请问肾结石吃什么药管用？,治疗方法,5
请问一下乳酸司帕沙星片，吃这种药期间有哪些东西是不能吃的呢？,禁忌,9
喝啤酒肚子涨都不会去小便怎么回事,治疗方法,5
变异性哮喘能治愈吗,治愈率,8
鼻子里面疼太阳穴疼怎么回事呀，怀孕十一周出现这样的情况有什么好的办法可以缓解？,治疗方法,5
急性心肌梗死是什么病,定义,0
小便疼痛。还有一下脓脓的东西溜出来。吃什么好啊？,治疗方法,5
支气管扩张的特点是什么?,定义,0
打喷嚏、头痛我怎么做才好？有些什么禁忌要注意的。,其他,12
每天早上七点半就起床，晚上还老是失眠该怎么办好我现在怀孕七个月有什么好的办法可以改善这种情况？,治疗方法,5
我爷爷高血压，牛黄降压片和罗布麻片能够帮助减压吗？有效果吗,其他,12
失眠，心悸，烦躁易怒，性欲高，伴有腰膝酸软，腰痛，肾阳虚，,其他,12
怎么做抵制胆汁淤积性黄疸,预防,2
请问得了小儿色素失调症需要做什么检查,化验/体检方案,10
先天性心脏病患儿生活上要注意什么？,禁忌,9
做过痔疮手术打过麻醉针，在11天之后我能在打吗，会在没什么影响,其他,12
百优解的禁忌症有哪些？,禁忌,9
先天性斜颈会传给老人吗,传染性,7
你好我一天吃一顿饭都感觉肚子很胀就算饿肚子也账,其他,12
痔疮怎么治疗？肛门外痔能用痔疾洗液吗？效果及安全性怎么样？,其他,12
哺乳期得了肠炎怎么办？,治疗方法,5
医生您好，我得了甲亢，想问医生怎么治疗,治疗方法,5
宝宝好像缺钙了，应该吃维生素d滴剂还是吃钙片比较好？,其他,12
你好，请问硝酸甘油可以有效的急救心脏停搏吗？用法用量是多少？,其他,12
请问下腹坠痛是什么病？,病因,1
可拉明中毒如何体检？,化验/体检方案,10
平时很好，突然一下这样，从今天中午至现在，约有十二小时。,临床表现(病症表现),3
我后左膀时常麻木是怎么回事，请大夫指导,临床表现(病症表现),3
最近在服用新乐康片，医生开药奥氮平片，想问一下新乐康片和奥氮平片一起吃行吗？,禁忌,9
孕妇头痛鼻塞流鼻涕打喷嚏，怎么办好呢？有没有什么快速治疗的土方子？,其他,12
糖尿病患者可以使用方斑蝥胶囊吗？价钱不同疗效有差别吗？,其他,12
输卵管癌会遗传吗,病因,1
进展性脑梗近医院时手脚可以动二天后加重不太会吃饭了,相关病症,4
小孩肛门瘙痒怎么办？,治疗方法,5
大便后为什么还有肛门下坠还想大便,病因,1
去化验白带没有霉菌，清洁度2，就是有时候比较多汗没有及时清洗。,临床表现(病症表现),3
一个月以来，我胸闷，心悸不安，失眠健忘，经常口渴，气短乏力，朋友跟我说该药的药效还不错，就我拿来试试。,其他,12
怎么强迫症,定义,0
沙门氏菌性肺炎有什么共现,相关病症,4
您好，请问这个药有什么好的作用吗？？适合服用治疗吗,其他,12
你好，请问有喜树碱软膏吗？,其他,12
你好医生，小儿尿路感染反复发作,临床表现(病症表现),3
请问得了肺衰做啥检查,化验/体检方案,10
肛门疼，越来越严重，便血，得了痔疮，出院后要注意哪些问题？,其他,12
"怀孕之前,我是个便秘的人,吃香",治疗方法,5
德维是不是可以跟钙片一起吃呢？,禁忌,9
我是一个血压患者，不知道可不可以喝安神补脑液这个药？,禁忌,9
预激性心脏病怎么做手术,治疗方法,5
颅内蛛网膜囊肿需要治疗吗？,治疗方法,5
如果得了睑皮松垂症什么人容易得,传染性,7
心肺无异常血无异常，还憋得慌咳嗽有痰咳不上来鼻子不通气,临床表现(病症表现),3
请问各位专家，脑供血不足喝益脑胶囊可不可以,治疗方法,5
请教一下肢萎要看什么科,所属科室,6
手指骨折复位了，已经七天，昨天走路的时候又骨擦音；时移位了没,临床表现(病症表现),3
做过直肠息肉，肠镜发现慢性直肠炎，复查又有一颗，怎样治最快？,治疗方法,5
请问得了乙胺嘧啶中毒治愈概率几成,治愈率,8
继发性闭经，雌激素药和吃妇科调经片能不能同时吃？,禁忌,9
表面弄脏了怎么办？可以洗的吗？想请问这样还可以继续服用的吗，然后有什么保健品比较好的呢,其他,12
为什么我胸部有很硬的东西,临床表现(病症表现),3
尿道口痒是怎么回事？,病因,1
我家孩子一个半月三四天不拉屎用开塞露才会拉,治疗方法,5
间质性肺炎是什么症状,临床表现(病症表现),3
创伤性膈疝是什么病,定义,0
宝宝便秘吃什么水果最好,治疗方法,5
药源性精神症样反应是什么病,病因,1
早期高血压可以吃这两个么，会不会有事呢,其他,12
你好，麻烦问一下伪膜性肠炎如何体检,化验/体检方案,10
老年人脊髓亚急性联合变性治愈需要几年,治疗时间,11
想死，割过腕，最近精神不好，有时会头疼，不吃饭,病因,1
请问焦虑症能吃心神宁片吗？吃起来效果好不好？,其他,12
请教一下II型肾小管性酸中毒化验什么啊,化验/体检方案,10
运动过后心绞痛怎么办,病因,1
我爸心脏有问题，经常感到隐痛，用抗栓胶囊会有效果吗？有没有可能是心绞痛呢？,其他,12
咳嗽有黄痰还发恶心，已经好几天了？,病因,1
请问医生鳞状细胞癌相关抗原2.48是什么情况,其他,12
酒精肝会导致肝性脑病？那怎么办啊？我查出有酒精肝，医生有什么,其他,12
哮喘要注意什么?,禁忌,9
孕38周头痛心情烦躁是怎么回事啊？怀孕已经38周了，最近感觉自己心情很烦躁，是不是快要生宝宝了啊？,其他,12
睡不着，没精神，冬天怕冷，用什么药好的快的啊现在这样子？,治疗方法,5
手术治结肠息肉可以根治吗？复发的几率高吗,其他,12
老人，早晨起来晕，血压高还吐，现在血压不高了，晕，浑身没劲怎么回事,病因,1
什么是多发性肝血管瘤,定义,0
补腰子参鹿扶正片,其他,12
过半个小时又会睡着了，会有不对劲然后要服用什么去解决。,治疗方法,5
如果得了肺泡癌要看什么科,所属科室,6
心脏病高血压应注意什么,预防,2
宝宝21天了老拉奶瓣一天拉十多次，肛门都拉出口子来了，吃了三天蒙托石散还是拉，与吃母乳有关吗？怎么治疗呢？谁知道答案,治疗方法,5
小便后阴道疼是怎么回事小便后阴道疼是怎么回事,临床表现(病症表现),3
尿路感染怎么办，平时应该注意哪些问题，怎么办,其他,12
医院检查脑供血不足，高血压，吃这个管事嘛,其他,12
打扰问一下肝咳易发人群是哪些人,传染性,7
你好，麻烦问一下阴虚火旺能治吗,治愈率,8
怀孕两个月肚子胀怎么办,治疗方法,5
怎么治疗小舞蹈病,治疗方法,5
新生儿4天核磁双侧侧脑室前角旁点状t2flair像高信号是什么意思,定义,0
您好，我是在咱们医院看过病的，上次过去没有床位，也不懂预约，现在想住院，怎么办、内蒙古婴儿背上有个血管瘤怎么治？,治疗方法,5
宝宝吃什么鱼肝油好？,其他,12
吃富酸马索比洛尔片会得心脏病吗？会对心脏有伤害吗？,其他,12
刚患上外痔，要如何预防治疗才好？,治疗方法,5
就是检查血沉17，医生说可能肺结核病。其它各项都正常,临床表现(病症表现),3
老年人正常压力脑积水怎么办,预防,2
你好，请问86岁高龄，有心梗的现象。请问可以用活心丸吧？效果好吗？,其他,12
请问嗜赌是心理疾病吗？如果是能够治愈吗？,其他,12
肝癌应该采用什么治疗方式好,治疗方法,5
1岁半的宝宝不吃饭怎么办？,治疗方法,5
小孩长血管瘤需要治疗吗,治疗方法,5
2个多月宝宝便秘怎么办？,治疗方法,5
请问下，我室性早博4500/24小时能吃稳心颗粒吗？效果怎么样？,其他,12
脊髓栓系综合征的病因是什么,病因,1
孕妇失眠对胎儿的影响有哪些呢？会不会以后宝宝出生晚上也不喜欢睡觉啊？,相关病症,4
癫痫病病人不适合多吃含锌高的食物。对癫痫患者进行血锌浓度测定，发现几乎所有的癫痫病人血锌平均含量都比普通人明确增高。,其他,12
请问可有同类替换药物怎么说的呢不懂啊,其他,12
我这几天突然出现了水肿、乏力等症状，有时候还比较严重，在医院检查之后说我是舒张性心力衰竭，请问舒张性心力衰竭是什么意思？,定义,0
使用鹿胎膏需要在服用期间禁服什么食品？应该怎么办才好呢？,其他,12
月经不调，来了一个多月，没有感觉不舒服,临床表现(病症表现),3
不洁性行为后的第三天龟头沟那里发现肉色小点点不痛不痒的会不会是尖锐湿疣？,临床表现(病症表现),3
外痔有半个月左右，不疼有点痒不流血，可以用痔疮膏？,禁忌,9
和稳心颗粒铺酶Q10能同服吗？还是最好服用比较好呢？,其他,12
老想上厕所，一天上七八次，但是去厕所又尿了一点点，刚从厕所出来又想上厕所,临床表现(病症表现),3
犯病时脱肛出血，用过马应龙痔疮膏，吃过苗药平痔胶囊，效果不错。平时注意什么呢？,预防,2
请问糜烂性胃炎加上食管炎、幽..,其他,12
头疼喘不上气怎么办好啊，现在怀孕七个月了出现这种情况是怎么回事是否需要去医院做检查？,其他,12
残胃还会生癌吗,禁忌,9
如何做防范玻璃体病,预防,2
你好，我家女儿4岁半了，老是容易咳嗽，一咳嗽就炎症高，炎症高了就容易呕吐，该怎么办呢？,临床表现(病症表现),3
"肚子庝,大便多,没力气,没精神。治疗后肚子不疼了，最近大便有血丝，怎样完全治好？",治疗方法,5
睡眠不足、一天只睡四到五个小时，头疼，怎么办？吃什么药可以控制病情？,其他,12
咳嗽感冒咳了很久了支气管炎,治疗方法,5
非经期下体有血块排出,临床表现(病症表现),3
复方萘普生栓、硝酸甘油片有什么注意事项吗?,禁忌,9
请问，输尿管结石碎石后，吃什么补肾药好？其他情况：碎石后，吃什么补肾药，好？我这个可以碎吗？,其他,12
请问早期怀孕用妇科药影响胎儿吗？,其他,12
癔症性眩晕步态是什么病？,定义,0
宝宝黄疸没退用治疗吗,治疗方法,5
打扰问一下脂肪肝什么人容易得,传染性,7
肛肠镜检查一般多少钱？肛门觉得粘湿，有少量粪便溢出，大便无血正常，是什么原因造成的？跟痔疮有没有关系？,其他,12
阜阳癫痫病重点医院？？四肢抽搐，脸色发青，口吐白沫或磨牙咬舌头，约三分钟停止后记忆短暂失忆。那么，癫痫有效的治疗方法,其他,12
小儿结核病治疗多少时间,治疗时间,11
我的HEM7501型血压计最近几天脉搏提示声消失了，是坏了吗？,其他,12
对于排毒养颜来说，降脂排毒胶囊有效果吗？还有什么药物可以使用的？,其他,12
我肚子疼又头疼怎么办啊？是不是生了宝宝之后身体都会这么一段时间啊？多长时间结束啊？,其他,12
请问阴毛上长痣还很痒怎么回事？,病因,1
您好医生，我母亲冠心病，气短，出虚汗，四肢无力，能吃生脉胶囊吗？,其他,12
过敏性咳嗽要怎么治疗？,治疗方法,5
脊髓压迫症的病因是什么,病因,1
肛门里(可能是直肠吧)，有刺痛感(针扎感)，不是排便时，是坐着时,病因,1
皮下脂肪瘤会引起高血压吗,定义,0
宝宝50天孕妇犯痔疮大便出血且非常疼痛、有什么方法可以迅速止痛且喂奶不影响宝宝,治疗方法,5
心悸说不出话是煤气中毒吗,定义,0
因为他射在里面导致我怀孕两周，请问除了药物流产和人工流产还有什么其他的自然流产的方法吗，急！！！,治疗方法,5
ciN3级锥切后ciN1在临床上的癌变时间要多长时间？还能活多久？,其他,12
请问月经延迟一周会是什么原因导致的？,其他,12
一周多的宝宝不爱吃饭怎么办？,治疗方法,5
你好医生，我得了结核性胸膜炎刚好一个星期，还在服药，请问我今年能去当兵吗，九月份验兵，影响吗,其他,12
不知孩子肚子是否有虫。,相关病症,4
我在下楼时脚崴了，回到家的时候发现脚踝关节处有点松了，而且行走时也有疼痛，右边出现隆起类似于肿胀。现在该怎么办,临床表现(病症表现),3
冷水洗肛门对治愈痔疮效果好吗？有什么医学依据？,其他,12
请问妇科B超检查确定有少少量盆腔积液是什么病？,定义,0
午睡心悸心慌怎么回事,病因,1
妊娠合并偏头痛怎么回事,病因,1
今年5月我患亚甲炎，服药一个，多月，吃完一瓶强的松，感觉好了超显示也，没结节了所以就停药了。请得到帮助,其他,12
你好；请问爱00麝香壮骨膏的主治症状及成份分别有那些呢？,其他,12
伊索佳硫酸氨基葡萄糖胶囊药品的性状是怎么样的。有谁知道吗？,其他,12
请问月经推迟九天还没来是绝经吗？,定义,0
现在老是会浑身发抖，犯病时还全身抽搐，现在医生让吃卡马西平，病情稍微好了一点，但是听人家说癫痫可能会遗传，请问是是真的么,定义,0
支气管扩张是怎么引起的,病因,1
解释一下脾良性肿瘤的释义,定义,0
急！宝宝喝完奶老是吐奶和打嗝，该怎么办？？？,治疗方法,5
左下肺部小结节高密度影音,病因,1
左胸以下肋骨处长期疼是什么原因,临床表现(病症表现),3
请问月经时早时晚有问题吗？,其他,12
长期痔疮会导致癌症吗,病因,1
变异性哮喘如何治疗?,治疗方法,5
能否介绍一下心肌病的释义,定义,0
最近怎么老是放屁,临床表现(病症表现),3
怎么确定胸痛是心绞痛,其他,12
中风之后半身不遂、语言障碍，这种情况适合用点什么药治疗适合呢？平时有什么要注意的？,治疗方法,5
肛周长小疙瘩，便血，得了痔疮。多吃什么比较好？,预防,2
病尿病十五年了今年才血压高如何处理,治疗方法,5
刚出生的孩子脑瘫常见不常见？怎么能最早的发现小宝宝有没有脑瘫的症状？,病因,1
我家孩子的手上已经有了血管瘤，该怎么控制？发现孩子的有2个多月的血管瘤，硬币那么大的血管瘤，内蒙古婴儿得了血管瘤较好治疗时间？,治疗时间,11
如何预防丘脑胶质瘤,预防,2
阴茎冠状沟长一个菜花状，米粒大小的东西。两个多月，有时排尿不畅有痛感。尖锐湿疣早期应该怎么治疗?,治疗方法,5
请问胎儿发育异常是什么原因？,病因,1
"盐酸小檗碱片该怎么样用药？用法用量是多少？连续腹泄医生开了地衣芽孢杆菌活菌胶囊,可不见好转怎办",治疗方法,5
慢阻肺确诊要怎么检查？,化验/体检方案,10
支气管扩张治疗多久能好？,治愈率,8
这个敬平利培酮片会有哪些性状啊我挺担心会买错药的能告诉我吗.,其他,12
禾风记生姜足贴可以贴肚脐吗？可以治肚子痛吗？,其他,12
乳腺癌有哪些诱发因素如何应对,预防,2
大肠和直肠有哪些区别?,其他,12
我女儿今年三周半大便出血是什么原因,病因,1
支气管哮喘典型的临床表现是什么,临床表现(病症表现),3
为什么我14岁胸部就36D,病因,1
"年龄50,男，出现幻觉，神志不清，恢复正常后烦躁，手心出汗",临床表现(病症表现),3
胃癌应该如何治疗,治疗方法,5
脑部手术后可以喝芬格欣吗？谢谢你了,禁忌,9
支气管扩张如何根治?,治疗方法,5
肛周长小疙瘩，便血，得了痔疮。多吃什么比较好？,预防,2
老是想上厕所怎么回事啊,临床表现(病症表现),3
"我的女儿还有三天就半岁了,我不知道她要不要补钙或吃鱼肝油，小孩太阳晒得少",治疗方法,5
我的肩膀痛有时放射到脖子上疼，胳膊疼手脖子也疼，早上起来感觉到胳膊没没劲,临床表现(病症表现),3
